Target,MAE,RMSE,R2,Model
Ni - Train,0.20314793471263562,0.2749898105810877,0.6554329678344097,Model 1
Ni - Test,0.21040632343781945,0.2843923933539087,0.6359331559578092,Model 1
Fe - Train,1.294852508534145,2.0028627566844737,0.983244159295467,Model 1
Fe - Test,2.273508547774618,3.6005701681587663,0.9458366386223752,Model 1
SiO2 - Train,1.0543892844994085,1.623538750103496,0.9808236813983723,Model 1
SiO2 - Test,1.7369522464539515,2.703987630714595,0.9473145955290769,Model 1
MgO - Train,0.9124035021383557,1.5364768981131118,0.9736053824960195,Model 1
MgO - Test,1.5229583398770872,2.6153062288678726,0.9262388266851741,Model 1
Ni - Train,0.18273939102440628,0.2530100904359538,0.708313585365308,Model 2
Ni - Test,0.18726859051493988,0.2562060356391706,0.7045228578590932,Model 2
Fe - Train,1.0614884984444184,1.71470252749974,0.9877187826591736,Model 2
Fe - Test,2.023401557965675,3.2719889557304938,0.9552712553818452,Model 2
SiO2 - Train,0.8974491547694108,1.4173005280723305,0.9853861778697297,Model 2
SiO2 - Test,1.5894408600755354,2.474622629326619,0.9558735614020364,Model 2
MgO - Train,0.8071969165613669,1.3693984963711496,0.9790336420209313,Model 2
MgO - Test,1.4038991643474286,2.432717911758741,0.9361786148527365,Model 2
Ni - Train,0.21646335443152592,0.2935078607487148,0.6074635481138054,Model 3
Ni - Test,0.2283064215928322,0.3096189767166743,0.5684806064605289,Model 3
Fe - Train,1.446297448542253,2.195647869875114,0.979863257215329,Model 3
Fe - Test,2.454283219957994,3.8041012278963513,0.9395401338756804,Model 3
SiO2 - Train,1.2074770502155445,1.8157934151643988,0.9760131735526006,Model 3
SiO2 - Test,1.9258977627986984,2.9034650645085303,0.9392544977870706,Model 3
MgO - Train,1.0413480991904411,1.6713209038732377,0.968769208313748,Model 3
MgO - Test,1.6732278682459145,2.767760356659572,0.9173886557363511,Model 3
Ni - Train,0.19702866695218504,0.26942599151871516,0.6692350382598584,Model 4
Ni - Test,0.20315216025418956,0.27960657989205756,0.6480832393053768,Model 4
Fe - Train,0.9831589422813601,1.563289485509343,0.9897919531426381,Model 4
Fe - Test,1.6879038704917755,2.8834062186552964,0.9652644073933172,Model 4
SiO2 - Train,0.8403317916178812,1.36258679577322,0.9864927085339047,Model 4
SiO2 - Test,1.3537884569271046,2.23053075726307,0.9641493239537287,Model 4
MgO - Train,0.7224240556037801,1.2620308908653397,0.9821924868408932,Model 4
MgO - Test,1.1779678672542955,2.2696478283120523,0.9444480037781039,Model 4
Ni - Train,0.1933825003935155,0.26420790512356773,0.681923097340513,Model 5
Ni - Test,0.1969037147140443,0.27040162759550734,0.6708727966274748,Model 5
Fe - Train,1.1343887045541396,1.788475073143507,0.9866392873333334,Model 5
Fe - Test,2.0752314867949515,3.363680833522026,0.9527292370156861,Model 5
SiO2 - Train,0.9436688105512966,1.4804367451576832,0.9840551796237339,Model 5
SiO2 - Test,1.640426716916415,2.5558961121789556,0.9529274948064093,Model 5
MgO - Train,0.83041380733738,1.4050105129268209,0.9779289776266049,Model 5
MgO - Test,1.434556482150764,2.4989323209366185,0.9326571164488551,Model 5
